,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                    Yahoo Taiwan Celebrity,"Entertainment, Entertainment - News",137.195,0.061,100,100,100,23.803,1.714,1.422,760.952,2.252,5.546
                    Yahoo Canada Celebrity,"Entertainment, Entertainment - News",132.678,0.059,100,100,100,16.265,0.648,0.614,504.213,1.285,3.8
                    Yahoo Philippines Celebrity,"Entertainment, Entertainment - News",110.768,0.049,100,100,100,19.387,1.496,1.447,626.413,2.388,5.655
                    Yahoo Hong Kong Celebrity,"Entertainment, Entertainment - News",104.145,0.046,100,100,,,,,,,
                    Yahoo Mexico Celebrity,"Entertainment - News, Entertainment",103.802,0.046,100,100,100,48.029,2.945,2.171,1546.813,1.904,14.902
                    Yahoo India Celebrity,"Entertainment, Entertainment - News",97.919,0.044,100,100,100,77.511,6.143,4.664,2562.339,2.397,26.168
                    Yahoo Spain Celebrity,"Entertainment, Entertainment - News",47.162,0.021,100,100,,,,,,,
                    Yahoo Vietnam Celebrity,"Entertainment, Entertainment - News",29.276,0.013,100,100,100,12.79,1.017,0.795,431.793,2.356,14.749
                    Yahoo Brazil Celebrity,"Entertainment - News, Entertainment",18.423,0.008,100,100,,,,,,,
                    Yahoo South Africa Celebrity,"Entertainment, Entertainment - News",17.433,0.008,100,100,,,,,,,
                    Yahoo Argentina Celebrity,"Entertainment - News, Entertainment",16.202,0.007,100,100,,,,,,,
                Yahoo Singapore Entertainment,"Entertainment - News, Entertainment",61.451,0.027,100,100,,,,,,,
                Yahoo Malaysia Entertainment,"Entertainment, Entertainment - News",8.59,0.004,100,100,,,,,,,
            Yahoo Search,Search/Navigation,67519.641,30.135,100,100,100,13347.777,1040.04,2400.381,700140.552,1.485,10.369
                Yahoo U.S. Search,Search/Navigation,66691.09,29.765,100,100,100,13198.205,1029.643,2380.31,692639.325,1.487,10.386
                    Yahoo U.S. Web Search,Search/Navigation,66059.899,29.483,100,100,100,13093.27,682.326,1416.491,681742.757,1.001,10.32
                    Yahoo U.S. Image Search,Search/Navigation,13162.936,5.875,100,100,100,1199.054,201.291,764.77,45969.216,4.379,3.492
                    Yahoo U.S. Video Search,Search/Navigation,6459.415,2.883,100,100,100,567.663,145.835,198.478,23125.171,6.306,3.58
                    Yahoo U.S. Directory Search,Search/Navigation,198.158,0.088,100,100,100,9.885,0.191,0.571,335.456,0.57,1.693
                Yahoo Japan Search,Search/Navigation,212.003,0.095,100,100,100,44.584,1.813,4.376,2339.808,0.775,11.037
                    Yahoo Japan Web Search,Search/Navigation,120.618,0.054,100,100,100,34.055,0.865,2.541,1685.931,0.513,13.977
                    Yahoo Japan Image Search,Search/Navigation,39.427,0.018,100,100,,,,,,,
                Yahoo Taiwan Search,Search/Navigation,178.313,0.08,100,100,100,26.169,2.823,3.827,1087.276,2.596,6.098
                    Yahoo Taiwan Web Search,Search/Navigation,158.733,0.071,100,100,100,20.84,2.198,2.245,883.389,2.488,5.565
                    Yahoo Taiwan Knowledge Search,Search/Navigation,19.482,0.009,100,100,,,,,,,
                Yahoo Hong Kong Search,Search/Navigation,106.56,0.048,100,100,100,13.828,1.325,1.692,555.877,2.384,5.217
                    Yahoo Hong Kong Web Search,Search/Navigation,61.278,0.027,100,100,100,5.686,0.135,0.262,183.182,0.739,2.989
                    Yahoo Hong Kong Dictionary Search,Search/Navigation,56.789,0.025,100,100,,,,,,,
                Yahoo India Search,Search/Navigation,106.349,0.047,100,100,100,6.158,0.179,0.436,216.249,0.829,2.033
                    Yahoo India Web Search,Search/Navigation,65.848,0.029,100,100,100,3.714,0.055,0.159,116.068,0.472,1.763
                Yahoo Spain Search,Search/Navigation,105.02,0.047,100,100,,,,,,,
                    Yahoo Spain Web Search,Search/Navigation,105.02,0.047,100,100,,,,,,,
                    Yahoo Spain Image Search,Search/Navigation,10.246,0.005,100,100,,,,,,,
                Yahoo UK & Ireland Search,Search/Navigation,98.156,0.044,100,100,100,4.621,0.48,0.605,166.82,2.878,1.7
                    Yahoo UK & Ireland Web Search,Search/Navigation,73.275,0.033,100,100,100,3.632,0.307,0.389,130.545,2.352,1.782
                Yahoo Mexico Search,Search/Navigation,80.488,0.036,100,100,100,9.38,0.703,2.241,452.471,1.554,5.622
                    Yahoo Mexico Video Search,Search/Navigation,12.553,0.006,100,100,,,,,,,
                    Yahoo Mexico Image Search,Search/Navigation,12.21,0.005,100,100,,,,,,,
                Yahoo Philippines Search,Search/Navigation,51.403,0.023,100,100,,,,,,,
                    Yahoo Philippines Web Search,Search/Navigation,51.403,0.023,100,100,,,,,,,
                Yahoo Canada Search,Search/Navigation,43.941,0.02,100,100,100,2.664,0.087,0.205,100.133,0.872,2.279
                    Yahoo Canada Web Search,Search/Navigation,43.809,0.02,100,100,100,2.658,0.037,0.151,98.691,0.375,2.253
                Yahoo Vietnam Search,Search/Navigation,40.99,0.018,100,100,,,,,,,
                    Yahoo Vietnam Web Search,Search/Navigation,33.502,0.015,100,100,,,,,,,
                Yahoo France Search,Search/Navigation,37.89,0.017,100,100,100,3.05,0.118,0.191,100.355,1.171,2.649
                    Yahoo France Web Search,Search/Navigation,37.89,0.017,100,100,100,3.05,0.079,0.139,99.901,0.794,2.637
                Yahoo Italy Search,Search/Navigation,29.984,0.013,100,100,,,,,,,
                    Yahoo Italy Image Search,Search/Navigation,1.325,0.001,100,100,,,,,,,
                Yahoo Brazil Search,Search/Navigation,18.969,0.008,100,100,,,,,,,
                    Yahoo Brazil Web Search,Search/Navigation,18.969,0.008,100,100,,,,,,,
                Yahoo Argentina Search,Search/Navigation,13.78,0.006,100,100,,,,,,,
                    Yahoo Argentina Web Search,Search/Navigation,13.78,0.006,100,100,,,,,,,
                Yahoo Germany Search,Search/Navigation,13.592,0.006,100,100,,,,,,,
                    Yahoo Germany Web Search,Search/Navigation,13.047,0.006,100,100,,,,,,,
                Yahoo7 Search,Search/Navigation,11.741,0.005,100,100,,,,,,,
                    Yahoo7 Web Search,Search/Navigation,10.369,0.005,100,100,,,,,,,
                Yahoo Singapore Search,Search/Navigation,9.924,0.004,100,100,,,,,,,
                Yahoo China Search,Search/Navigation,8.453,0.004,100,100,,,,,,,
                Yahoo Sweden Search,Search/Navigation,3.011,0.001,100,100,,,,,,,
                    Yahoo Sweden Web Search,Search/Navigation,3.011,0.001,100,100,,,,,,,
                Yahoo Korea Search,Search/Navigation,0.972,0,100,100,,,,,,,
                    Yahoo Korea Combo Search,Search/Navigation,0.698,0,100,100,,,,,,,
            Yahoo Answers,"Directories/Resources, Directories/Resources - Reference",58425.498,26.076,100,100,100,4708.463,298.548,337.219,174942.151,1.707,2.994
                Yahoo U.S. Answers,"Directories/Resources - Reference, Directories/Resources",56888.489,25.39,100,100,100,4424.03,269.067,300.086,162648.856,1.654,2.859
                Yahoo UK & Ireland Answers,"Directories/Resources - Reference, Directories/Resources",3461.157,1.545,100,100,100,135.14,7.165,12.081,4390.665,1.632,1.269
                Yahoo7 Answers,"Directories/Resources - Reference, Directories/Resources",1140,0.509,100,100,100,37.175,1.753,2.356,1256.841,1.395,1.102
                Yahoo India Answers,"Directories/Resources, Directories/Resources - Reference",710.444,0.317,100,100,100,29.38,0.999,1.058,925.575,1.079,1.303
                Yahoo Canada Answers,"Directories/Resources - Reference, Directories/Resources",577.614,0.258,100,100,100,39.424,3.869,8.521,1333.485,2.901,2.309
                Yahoo Mexico Answers,"Directories/Resources - Reference, Directories/Resources",484.54,0.216,100,100,100,26.777,1.017,1.205,910.565,1.117,1.879
                Yahoo Spain Answers,"Directories/Resources - Reference, Directories/Resources",481.928,0.215,100,100,100,26.377,1.363,1.71,846.281,1.611,1.756
                Yahoo Singapore Answers,"Directories/Resources - Reference, Directories/Resources",253.342,0.113,100,100,100,8.556,0.355,0.422,287.962,1.233,1.137
                Yahoo Taiwan Knowledge,"Directories/Resources - Reference, Directories/Resources",248.965,0.111,100,100,100,18.401,1.253,1.209,590.179,2.123,2.371
                Yahoo Philippines Answers,"Directories/Resources - Reference, Directories/Resources",238.248,0.106,100,100,100,12.209,0.382,0.448,392.343,0.972,1.647
                Yahoo New Zealand Answers,"Directories/Resources - Reference, Directories/Resources",172.934,0.077,100,100,100,16.045,0.524,0.533,504.073,1.039,2.915
                Yahoo Malaysia Answers,"Directories/Resources, Directories/Resources - Reference",172.569,0.077,100,100,100,9.385,0.321,0.354,302.169,1.064,1.751
                Yahoo Japan Answers,"Directories/Resources - Reference, Directories/Resources",157.272,0.07,100,100,100,39.718,8.294,5.308,2561.395,3.238,16.286
                Yahoo Argentina Answers,"Directories/Resources - Reference, Directories/Resources",155.765,0.07,100,100,100,7.747,0.327,0.269,240.786,1.357,1.546
                Yahoo Hong Kong Answers,"Directories/Resources - Reference, Directories/Resources",52.637,0.023,100,100,,,,,,,
                Yahoo Brazil Answers,"Directories/Resources, Directories/Resources - Reference",49.667,0.022,100,100,,,,,,,
                Yahoo France Answers,"Directories/Resources - Reference, Directories/Resources",39.219,0.018,100,100,,,,,,,
                Yahoo Vietnam Answers,"Directories/Resources, Directories/Resources - Reference",36.498,0.016,100,100,,,,,,,
                Yahoo Italy Answers,"Directories/Resources, Directories/Resources - Reference",34.464,0.015,100,100,,,,,,,
                Yahoo Germany Answers,"Directories/Resources - Reference, Directories/Resources",7.216,0.003,100,100,,,,,,,
                Yahoo Indonesia Answers,"Directories/Resources - Reference, Directories/Resources",4.038,0.002,100,100,,,,,,,
            Yahoo Sports-NBC Sports Network,Sports,41585.904,18.56,100,100,100,6578.359,1648.718,2127.189,323079.084,5.103,7.769
                Yahoo U.S. Sports,Sports,31557.533,14.085,100,100,100,4337.465,900.39,1504.465,203863.514,4.417,6.46
                NBC Sports,Sports,12588.889,5.619,100,100,100,2215.645,557.64,413.447,111975.529,4.98,8.895
                    NBCSPORTS.COM,Sports,7535.302,3.363,100,100,100,638.264,83.382,67.471,26747.117,3.117,3.55
                    ROTOWORLD.COM,Sports,1479.581,0.66,100,100,100,249.961,216.939,65.724,12783.72,16.97,8.64
                    GolfChannel,Sports,1133.793,0.506,100,100,100,692.891,178.775,190.259,43439.252,4.116,38.313
                        GOLFNOW.COM,Sports,527.712,0.236,100,100,100,39.552,8.638,11.461,1580.547,5.465,2.995
                        WGT.COM*,"Games, Games - Online Gaming",322.134,0.144,100,100,100,591.548,142.585,168.231,42746.875,3.336,132.699
                        GOLFCHANNEL.COM,Sports,284.409,0.127,100,100,100,63.379,14.457,9.9,2335.536,6.19,8.212
                        WORLDGOLF.COM,Sports,88.369,0.039,100,100,,,,,,,
                    FANSEDGE.COM,"Retail, Retail - Sports/Outdoor",1088.66,0.486,100,100,100,44.602,8.154,15.093,1477.271,5.519,1.357
                    Comcast SportsNet New England,Sports,666.988,0.298,100,100,100,44.079,2.623,2.191,1455.48,1.802,2.182
                    Universal Sports,Sports,642.948,0.287,100,100,100,50.43,8.189,11.505,2608.203,3.14,4.057
                        LETSRUN.COM,Sports,260.467,0.116,100,100,100,17.524,3.803,3.278,894.714,4.25,3.435
                        IRONMAN.COM,Sports,128.08,0.057,100,100,100,16.855,1.507,2.939,902.877,1.669,7.049
                        USASWIMMING.ORG,Sports,111.402,0.05,100,100,100,6.416,1.27,3.055,279.284,4.548,2.507
                        USAGYM.ORG,Sports,58.101,0.026,100,100,100,3.377,0.44,0.906,116.089,3.793,1.998
                        UNIVERSALSPORTS.COM,Sports,31.144,0.014,100,100,,,,,,,
                    Comcast SportsNet Washington DC,Sports,561.081,0.25,100,100,100,24.176,1.687,2.298,1019.492,1.655,1.817
                        CSNWASHINGTON.COM,Sports,557.213,0.249,100,100,100,21.745,1.641,2.162,933.644,1.757,1.676
                    Comcast SportsNet Chicago,Sports,560.842,0.25,100,100,100,43.167,2.223,2.489,1380.165,1.611,2.461
                        IHSA.ORG*,Education,30.579,0.014,100,100,,,,,,,
                    Comcast SportsNet Philly,Sports,453.402,0.202,100,100,100,47.16,3.321,6.36,1741.924,1.906,3.842
                        CSNPHILLY.COM*,Sports,379.754,0.169,100,100,100,41.808,2.953,5.493,1557.061,1.897,4.1
                        THE700LEVEL.COM,"Social Media, Social Media - Blogs",142.086,0.063,100,100,100,10.28,0.255,0.752,326.347,0.782,2.297
                    Comcast SportsNet Bay Area,Sports,446.688,0.199,100,100,100,32.848,2.784,3.427,1206.418,2.307,2.701
                    FANDUEL.COM,Sports,395.109,0.176,100,100,100,39.361,16.69,24.99,2324.559,7.18,5.883
                    SNY.TV Blog Network,Sports,356.014,0.159,100,100,100,73.791,4.651,5.067,6999.983,0.664,19.662
                        ZAGSBLOG.COM,Sports,65.688,0.029,100,100,,,,,,,
                    Comcast SportsNet Baltimore,Sports,239.95,0.107,100,100,100,26.54,0.932,1.822,1210.265,0.77,5.044
                        CSNBALTIMORE.COM,Sports,209.383,0.093,100,100,100,19.072,0.8,1.086,831.01,0.962,3.969
                    COMCASTSPORTSNET.COM,Corporate Presence,235.887,0.105,100,100,100,19.686,0.489,0.894,633.844,0.772,2.687
                    Comcast SportsNet Houston,Sports,213.077,0.095,100,100,100,8.681,0.635,1.021,269.1,2.358,1.263
