URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/Cervical+cancer+%28Risk+Factors%29,Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017,"This dataset focuses on the prediction of indicators/diagnosis of cervical cancer. The features cover demographic information, habits, and historic medical records."
http://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993,Task
http://archive.ics.uci.edu/ml/datasets/Character+Font+Images,Character Font Images,Multivariate,Classification,"Integer, Real",745000,411,2016,Character images from scanned and computer generated fonts.
http://archive.ics.uci.edu/ml/datasets/Character+Trajectories,Character Trajectories,Time-Series,"Classification, Clustering",Real,2858,3,2008,"Multiple, labelled samples of pen tip trajectories recorded whilst writing individual characters. All samples are from the same writer, for the purposes of primitive extraction. Only characters with a single pen-down segment were considered."
http://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29,Chess (Domain Theories),Domain-Theory,,,,,,6 different domain theories for generating legal moves of chess
http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994,Chess Endgame Database for White King and Rook against Black King (KRK).
http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29,Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",,22,1988,Knight Pin Chess End-Game Database Creator
http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989,King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7).
http://archive.ics.uci.edu/ml/datasets/chestnut+%E2%80%93+LARVIC,chestnut - LARVIC,,"Classification, Clustering",,1451,3,2017,"The research project presents this database, shows the images of chestnuts that will be processed to determine the presence or absence of defects"
http://archive.ics.uci.edu/ml/datasets/chipseq,chipseq,Sequential,Classification,Integer,4960,,2018,ChIP-seq experiments characterize protein modifications or binding at specific genomic locations in specific samples. The machine learning problem in these data is structured binary classification.
http://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease,Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25,2015,This dataset can be used to predict the chronic kidney disease and it can be collected from the hospital nearly 2 months of period.
http://archive.ics.uci.edu/ml/datasets/Climate+Model+Simulation+Crashes,Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013,"Given Latin hypercube samples of 18 climate model input parameter values, predict climate model simulation crashes and determine the parameter value combinations that cause the failures."
http://archive.ics.uci.edu/ml/datasets/Cloud,Cloud,Multivariate,,Real,1024,10,1989,Little Documentation
http://archive.ics.uci.edu/ml/datasets/CMU+Face+Images,CMU Face Images,Image,Classification,Integer,640,,1999,"This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size"
http://archive.ics.uci.edu/ml/datasets/CNAE-9,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012,This is a data set containing 1080 documents of free text business descriptions of Brazilian companies categorized into a subset of 9 categories
http://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data,Coil 1999 Competition Data,Multivariate,,"Categorical, Real",340,17,1999,This data set is from the 1999 Computational Intelligence and Learning (COIL) competition. The data contains measurements of river chemical concentrations and algae densities.
http://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant,Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014,"The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load."
