Name,URL,done
09.07_R_Tutorial_for_Module_9,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/da9a36db-52aa-48f8-bb7e-45ef462bc381/ShowPage?sendingPage=213998&itemId=1591986&path=clear_and_push&title=9.7: R Tutorial for Module 9&newTopLevel=false,0
09.08_Module_9_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/da9a36db-52aa-48f8-bb7e-45ef462bc381/ShowPage?sendingPage=213999&itemId=1591987&path=clear_and_push&title=9.8: Module 9 Live Session&newTopLevel=false,0
10.00_Logistic_Regression_Part_Two_83_84,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/f37f98c3-d6b9-4ad4-a866-b85a8839b967,0
10.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213953&itemId=1591958&path=clear_and_push&title=10.1: Introduction to the Lesson&newTopLevel=false,0
10.02_Logistic_Regression_Validation,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213954&itemId=1591959&path=clear_and_push&title=10.2: Logistic Regression Validation&newTopLevel=false,0
10.03_Multinomial_Logistic_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213955&itemId=1591960&path=clear_and_push&title=10.3: Multinomial Logistic Regression&newTopLevel=false,0
10.04_Generalized_Linear_Models,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213956&itemId=1591961&path=clear_and_push&title=10.4: Generalized Linear Models (GLMs)&newTopLevel=false,0
10.05_Recap_for_Module_10,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=216388&itemId=1605816&path=clear_and_push&title=10.5: Recap for Module 10&newTopLevel=false,0
10.06_R_Tutorial_for_Module_10,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213957&itemId=1591962&path=clear_and_push&title=10.6: R Tutorial for Module 10&newTopLevel=false,0
10.07_Module_10_Live_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/f37f98c3-d6b9-4ad4-a866-b85a8839b967/ShowPage?sendingPage=213958&itemId=1591963&path=clear_and_push&title=10.7: Module 10 Live Lesson&newTopLevel=false,0
11.00_Regression_for_Time_Series_Data_and_Resampling_Methods_85_86,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/2f1e7a58-13a8-488f-abed-375b106e4db7,0
11.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/2f1e7a58-13a8-488f-abed-375b106e4db7/ShowPage?sendingPage=213959&itemId=1592095&path=clear_and_push&title=11.1: Introduction to the Lesson&newTopLevel=false,0
11.02_Autocorrelation_in_Errors,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/2f1e7a58-13a8-488f-abed-375b106e4db7/ShowPage?sendingPage=213960&itemId=1592096&path=clear_and_push&title=11.2: Autocorrelation in Errors&newTopLevel=false,0
